Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;2

EWMA_Termico;12.50%;0.2000;0.0 seg;1;7;1

Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;3

EWMA_Termico;22.22%;0.3333;0.0 seg;2;7;1

Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;1

